point_a,point_b,distance,max_speed,road_condition,traffic_condition,date,departure_time,vehicle_type,driver_age,travel_time
"4 Pennsylvania Plaza, New York, NY","1500 Sugar Bowl Dr, New Orleans, LA",1193,65.01,3,0,2023-02-15,13:23,Sedan,27,22.31
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,74.78,2,1,2023-01-05,10:11,SUV,26,14.13
"1211 Avenue of the Americas, New York, NY","350 5th Ave, New York, NY",226,64.05,0,0,2023-11-12,08:01,Semi-truck,63,5.83
"1600 Pennsylvania Ave NW, Washington, DC","350 5th Ave, New York, NY",226,68.4,3,1,2023-10-19,12:58,Car/Trailer,51,4.17
"1 Market St, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,72.38,2,2,2023-07-07,22:07,Semi-truck,68,3.02
"350 5th Ave, New York, NY","233 S Wacker Dr, Chicago, IL",791,70.89,0,2,2023-10-06,04:58,Motorcycle,34,15.41
"350 5th Ave, New York, NY","233 S Wacker Dr, Chicago, IL",791,76.15,3,0,2023-09-08,10:53,Motorcycle,35,13.77
"350 5th Ave, New York, NY","233 S Wacker Dr, Chicago, IL",791,72.42,0,0,2023-01-01,10:37,Semi-truck,41,16.18
"1600 Pennsylvania Ave NW, Washington, DC","350 5th Ave, New York, NY",226,73.69,1,1,2023-04-23,15:01,Truck,23,4.63
"1515 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2889,71.62,1,1,2023-09-19,03:38,Semi-truck,43,50.98
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,77.31,1,2,2023-11-09,10:36,Car/Trailer,67,13.86
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,70.29,3,1,2023-07-20,00:47,Motorcycle,61,13.92
"4 Pennsylvania Plaza, New York, NY","1500 Sugar Bowl Dr, New Orleans, LA",1193,69.92,1,1,2023-08-27,10:29,Sedan,38,20.91
"1 Apple Park Way, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,71.64,3,1,2023-11-12,22:48,Semi-truck,67,1.31
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,68.87,2,0,2023-06-24,03:09,Sedan,36,41.12
"100 Universal City Plaza, Universal City, CA","1600 Amphitheatre Parkway, Mountain View, CA",343,69.87,0,2,2023-05-02,20:56,Semi-truck,48,6.71
"1211 Avenue of the Americas, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,74.16,1,2,2023-09-04,21:55,Car/Trailer,23,4.22
"1515 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2889,70.39,1,2,2023-09-28,07:07,SUV,41,53.37
"721 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2887,73.08,1,1,2023-01-18,19:03,Car/Trailer,45,49.82
"1 Hacker Way, Menlo Park, CA","350 5th Ave, New York, NY",2885,73.53,0,0,2023-04-06,15:51,Truck,31,49.59
"1 Dr Carlton B Goodlett Pl, San Francisco, CA","1600 Pennsylvania Ave NW, Washington, DC",2835,66.66,0,1,2023-04-13,23:27,Semi-truck,65,53.47
"721 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",226,74.9,2,1,2023-05-06,08:11,Semi-truck,47,4.16
"2755 Station Club Dr, Suwanee, GA","350 5th Ave, New York, NY",754,67.0,3,1,2023-09-23,15:34,Motorcycle,33,15.31
"120 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,71.57,2,2,2023-06-04,04:25,Motorcycle,56,5.41
"1 Googleplex, Mountain View, CA","233 S Wacker Dr, Chicago, IL",2141,64.28,3,0,2023-08-01,05:19,Car/Trailer,50,43.05
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,65.36,2,2,2023-07-13,22:45,Motorcycle,32,39.85
"1601 Willow Rd, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,69.74,3,2,2023-09-18,15:13,Semi-truck,28,2.48
"1 Googleplex, Mountain View, CA","1 Apple Park Way, Cupertino, CA",43,69.91,0,2,2023-10-02,12:56,SUV,68,1.69
"120 Broadway, New York, NY","1 Infinite Loop, Cupertino, CA",2891,70.55,3,2,2023-09-16,11:23,Sedan,59,51.35
"721 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",226,71.4,3,0,2023-07-17,22:18,SUV,65,4.96
"2755 Station Club Dr, Suwanee, GA","350 5th Ave, New York, NY",754,71.71,2,0,2023-06-15,03:23,Semi-truck,55,13.63
"333 Bush St, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,75.0,3,2,2023-03-30,17:33,Semi-truck,54,2.94
"721 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",226,71.42,1,1,2023-08-10,21:18,Motorcycle,69,4.86
"1500 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,63.8,0,1,2023-10-06,04:20,Truck,30,6.3
"1211 Avenue of the Americas, New York, NY","350 5th Ave, New York, NY",226,69.89,0,2,2023-01-29,09:56,Motorcycle,45,5.05
"30 Rockefeller Plaza, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,74.01,1,2,2023-09-27,09:02,Car/Trailer,58,4.49
"1601 Willow Rd, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,68.8,1,1,2023-08-02,17:14,Semi-truck,19,2.4
"1 Franklin Pkwy, San Mateo, CA","1 Infinite Loop, Cupertino, CA",128,70.58,3,0,2023-07-28,00:46,Truck,31,3.17
"405 Lexington Ave, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,69.7,3,0,2023-03-20,20:46,Semi-truck,51,4.15
"1 Market St, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,65.19,1,2,2023-10-23,19:30,SUV,42,2.38
"401 N Michigan Ave, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2142,67.22,2,2,2023-11-03,12:47,Truck,41,39.94
"1600 Amphitheatre Parkway, Mountain View, CA","1 Infinite Loop, Cupertino, CA",43,69.24,3,2,2023-11-16,07:13,Truck,42,0.82
"350 5th Ave, New York, NY","233 S Wacker Dr, Chicago, IL",791,68.09,3,1,2023-01-10,11:26,Sedan,63,15.04
"1 Hacker Way, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,70.56,1,1,2023-07-17,02:44,Sedan,23,3.28
"100 Universal City Plaza, Universal City, CA","1 Infinite Loop, Cupertino, CA",343,69.02,1,0,2023-03-15,06:54,Sedan,62,6.6
"1601 Willow Rd, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,74.12,0,0,2023-12-23,19:02,Sedan,63,2.98
"1515 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2889,79.06,2,1,2023-09-14,12:44,Truck,27,49.67
"1 Hacker Way, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,73.09,0,0,2023-03-17,12:56,Car/Trailer,36,2.45
"1 Dr Carlton B Goodlett Pl, San Francisco, CA","1600 Pennsylvania Ave NW, Washington, DC",2835,63.45,1,2,2023-03-05,02:09,Sedan,69,55.27
"1 Hacker Way, Menlo Park, CA","1600 Amphitheatre Parkway, Mountain View, CA",128,70.4,2,1,2023-09-23,00:17,Motorcycle,67,3.6
"1 Microsoft Way, Redmond, WA","701 5th Ave, Seattle, WA",16,70.53,3,0,2023-04-28,12:22,Sedan,43,0.79
"400 Broad St, Seattle, WA","1600 Amphitheatre Parkway, Mountain View, CA",842,75.5,0,0,2023-08-18,18:43,Car/Trailer,69,14.64
"1600 Amphitheatre Parkway, Mountain View, CA","1 Infinite Loop, Cupertino, CA",43,68.17,2,2,2023-06-04,03:02,SUV,39,1.93
"401 N Michigan Ave, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2142,69.14,2,1,2023-02-13,00:04,Motorcycle,42,38.06
"120 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,68.68,2,1,2023-07-21,00:59,Motorcycle,48,4.89
"1 Infinite Loop, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,72.8,0,0,2023-05-01,15:04,Semi-truck,54,0.88
"100 Universal City Plaza, Universal City, CA","1600 Amphitheatre Parkway, Mountain View, CA",343,69.93,2,2,2023-01-13,12:20,Motorcycle,43,6.64
"120 Broadway, New York, NY","1 Infinite Loop, Cupertino, CA",2891,71.72,3,0,2023-06-13,07:52,Motorcycle,64,51.3
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,75.49,2,1,2023-01-11,15:00,Truck,69,4.37
"1 Infinite Loop, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,75.86,3,1,2023-08-06,00:31,Truck,25,0.87
"4 Pennsylvania Plaza, New York, NY","1500 Sugar Bowl Dr, New Orleans, LA",1193,70.33,1,0,2023-12-20,18:51,Motorcycle,65,21.53
"1 Googleplex, Mountain View, CA","233 S Wacker Dr, Chicago, IL",2141,70.01,2,1,2023-12-23,04:30,Car/Trailer,32,39.47
"1 Hacker Way, Menlo Park, CA","1600 Amphitheatre Parkway, Mountain View, CA",128,71.32,0,0,2023-10-09,06:56,SUV,22,3.05
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,77.21,1,1,2023-09-04,14:08,Motorcycle,47,14.03
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,72.02,2,2,2023-06-23,08:47,Truck,44,39.73
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,69.2,1,0,2023-11-16,01:28,Sedan,50,4.98
"1 Hacker Way, Menlo Park, CA","350 5th Ave, New York, NY",2885,74.95,3,2,2023-07-31,15:53,SUV,55,51.48
"1515 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2889,69.45,0,2,2023-01-17,01:06,Sedan,69,54.3
"2755 Station Club Dr, Suwanee, GA","350 5th Ave, New York, NY",754,71.19,3,1,2023-10-12,06:40,Motorcycle,51,14.3
"100 Universal City Plaza, Universal City, CA","1 Infinite Loop, Cupertino, CA",343,68.04,0,2,2023-11-12,10:46,Semi-truck,31,7.11
"1600 Pennsylvania Ave NW, Washington, DC","350 5th Ave, New York, NY",226,77.92,2,0,2023-03-03,21:15,SUV,44,4.71
"1 Hacker Way, Menlo Park, CA","350 5th Ave, New York, NY",2885,74.62,3,0,2023-12-19,00:37,Motorcycle,50,52.6
"1 Market St, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,75.85,3,0,2023-09-07,13:44,Motorcycle,21,2.98
"1 Hacker Way, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,75.85,2,1,2023-08-16,20:35,Semi-truck,19,3.83
"1211 Avenue of the Americas, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,71.45,3,1,2023-03-13,15:00,Motorcycle,30,5.72
"500 Terry A Francois Blvd, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,66.77,1,1,2023-01-29,05:48,Motorcycle,26,4.07
"350 5th Ave, New York, NY","1 Infinite Loop, Cupertino, CA",2907,70.7,3,1,2023-05-12,05:30,Car/Trailer,57,52.65
"1 Googleplex, Mountain View, CA","1 Apple Park Way, Cupertino, CA",43,67.96,3,1,2023-12-07,07:47,Semi-truck,61,1.29
"4 Pennsylvania Plaza, New York, NY","1500 Sugar Bowl Dr, New Orleans, LA",1193,73.42,3,1,2023-03-18,19:06,Motorcycle,32,20.99
"350 5th Ave, New York, NY","1 Infinite Loop, Cupertino, CA",2907,69.28,2,2,2023-04-04,15:42,Car/Trailer,22,56.23
"1 Hacker Way, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,75.01,2,0,2023-05-23,00:36,Motorcycle,37,3.96
"1515 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2889,70.81,1,0,2023-12-11,19:03,Car/Trailer,41,53.45
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,75.26,3,1,2023-05-21,17:42,SUV,38,37.13
"45 Rockefeller Plaza, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,71.67,0,2,2023-08-11,05:44,Sedan,42,4.5
"2755 Station Club Dr, Suwanee, GA","1600 Pennsylvania Ave NW, Washington, DC",546,73.4,0,2,2023-09-26,15:18,Truck,68,11.13
"350 5th Ave, New York, NY","1 Infinite Loop, Cupertino, CA",2907,71.24,1,2,2023-10-09,10:20,Sedan,32,56.57
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,78.53,0,0,2023-08-10,11:16,Truck,65,3.92
"1 Hacker Way, Menlo Park, CA","350 5th Ave, New York, NY",2885,66.99,3,2,2023-10-14,04:10,Truck,24,52.8
"1 Microsoft Way, Redmond, WA","701 5th Ave, Seattle, WA",16,74.76,0,0,2023-01-28,09:50,Truck,29,1.05
"2755 Station Club Dr, Suwanee, GA","350 5th Ave, New York, NY",754,67.8,0,1,2023-04-19,09:38,Sedan,49,14.54
"1 Infinite Loop, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,72.78,2,1,2023-11-06,13:10,Car/Trailer,23,1.11
"500 Terry A Francois Blvd, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,73.06,2,1,2023-06-16,22:01,Car/Trailer,26,3.65
"1601 Willow Rd, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,68.62,1,0,2023-07-26,00:48,Sedan,26,3.4
"350 5th Ave, New York, NY","233 S Wacker Dr, Chicago, IL",791,68.48,1,1,2023-06-21,08:22,Car/Trailer,22,15.15
"4 Pennsylvania Plaza, New York, NY","1500 Sugar Bowl Dr, New Orleans, LA",1193,70.03,3,2,2023-05-18,16:41,SUV,68,24.49
"333 Bush St, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,67.88,1,2,2023-05-16,16:43,Car/Trailer,65,4.36
"333 Bush St, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,70.06,2,1,2023-06-21,04:52,Car/Trailer,42,4.1
"120 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,70.71,3,0,2023-09-25,06:31,Truck,33,4.79
"1 Apple Park Way, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,75.81,1,0,2023-04-04,14:21,Semi-truck,60,1.92
"1 Apple Park Way, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,71.02,3,0,2023-01-13,14:35,Truck,48,1.5
"1 Googleplex, Mountain View, CA","233 S Wacker Dr, Chicago, IL",2141,72.86,0,0,2023-05-03,22:39,Sedan,29,36.9
"1 Market St, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,70.17,1,2,2023-01-17,12:32,Car/Trailer,64,2.18
"120 Broadway, New York, NY","1 Infinite Loop, Cupertino, CA",2891,70.58,3,2,2023-02-15,04:54,Sedan,20,54.3
"721 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2887,78.88,0,2,2023-04-25,06:59,Semi-truck,23,48.74
"1 Market St, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,71.26,3,0,2023-11-03,11:52,Semi-truck,47,2.41
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,68.94,3,0,2023-05-25,13:20,Truck,48,5.12
"1211 Avenue of the Americas, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,66.48,0,0,2023-09-06,17:36,Motorcycle,31,5.06
"1 Googleplex, Mountain View, CA","1 Apple Park Way, Cupertino, CA",43,69.41,1,1,2023-11-16,02:44,Motorcycle,37,2.0
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,65.54,1,1,2023-05-23,13:15,Motorcycle,60,41.55
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,77.38,2,0,2023-11-13,13:15,Semi-truck,54,4.86
"100 Universal City Plaza, Universal City, CA","1 Infinite Loop, Cupertino, CA",343,71.87,2,1,2023-04-18,20:25,Semi-truck,45,7.93
"30 Rockefeller Plaza, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,66.21,1,1,2023-07-30,02:27,Truck,28,4.86
"100 Universal City Plaza, Universal City, CA","1 Infinite Loop, Cupertino, CA",343,75.23,2,0,2023-05-04,04:53,Semi-truck,22,6.22
"1 Hacker Way, Menlo Park, CA","350 5th Ave, New York, NY",2885,78.13,2,0,2023-11-27,19:00,Truck,43,49.42
"1 Hacker Way, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,69.49,0,1,2023-08-08,15:11,Motorcycle,45,4.34
"100 Universal City Plaza, Universal City, CA","1 Infinite Loop, Cupertino, CA",343,71.22,1,1,2023-04-09,23:23,SUV,33,7.0
"1 Dr Carlton B Goodlett Pl, San Francisco, CA","1600 Pennsylvania Ave NW, Washington, DC",2835,69.57,3,0,2023-03-09,23:59,Car/Trailer,51,48.6
"120 Broadway, New York, NY","1 Infinite Loop, Cupertino, CA",2891,73.57,1,0,2023-12-24,11:55,Car/Trailer,21,50.42
"350 5th Ave, New York, NY","233 S Wacker Dr, Chicago, IL",791,72.17,0,2,2023-03-15,13:42,Truck,65,15.2
"2755 Station Club Dr, Suwanee, GA","1600 Pennsylvania Ave NW, Washington, DC",546,71.5,1,1,2023-11-18,02:13,Sedan,59,9.86
"1 Googleplex, Mountain View, CA","1 Apple Park Way, Cupertino, CA",43,67.85,0,2,2023-05-01,11:11,Semi-truck,53,1.51
"120 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,72.81,1,0,2023-01-04,03:02,Truck,41,4.28
"721 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2887,66.45,2,2,2023-03-26,14:07,Truck,56,55.59
"100 Universal City Plaza, Universal City, CA","1 Infinite Loop, Cupertino, CA",343,73.09,2,0,2023-10-15,09:02,Sedan,59,7.88
"1 Dr Carlton B Goodlett Pl, San Francisco, CA","1600 Pennsylvania Ave NW, Washington, DC",2835,76.33,3,0,2023-01-16,23:37,Sedan,50,51.0
"2755 Station Club Dr, Suwanee, GA","350 5th Ave, New York, NY",754,64.12,3,2,2023-03-24,15:18,Sedan,52,15.95
"721 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",226,71.52,0,1,2023-06-01,21:13,Truck,29,4.53
"1600 Amphitheatre Parkway, Mountain View, CA","1 Infinite Loop, Cupertino, CA",43,73.18,0,2,2023-08-03,22:38,Sedan,61,1.5
"1500 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,69.97,1,2,2023-09-28,10:28,Sedan,51,4.64
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,66.48,3,0,2023-03-02,07:18,Semi-truck,20,4.32
"120 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,74.82,3,1,2023-04-21,13:42,Car/Trailer,53,4.98
"1211 Avenue of the Americas, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,66.77,1,0,2023-09-21,12:57,Semi-truck,63,4.84
"500 Terry A Francois Blvd, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,76.52,1,0,2023-01-08,20:23,Car/Trailer,61,4.32
"721 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2887,63.25,1,2,2023-09-21,17:41,Sedan,29,55.0
"2755 Station Club Dr, Suwanee, GA","1600 Pennsylvania Ave NW, Washington, DC",546,72.72,0,0,2023-04-05,18:57,Semi-truck,40,10.63
"350 5th Ave, New York, NY","1 Infinite Loop, Cupertino, CA",2907,68.98,1,0,2023-01-31,02:22,SUV,67,49.96
"350 5th Ave, New York, NY","1 Infinite Loop, Cupertino, CA",2907,70.2,1,0,2023-06-21,06:04,SUV,66,53.92
"1600 Amphitheatre Parkway, Mountain View, CA","1 Infinite Loop, Cupertino, CA",43,69.77,2,0,2023-08-13,00:22,SUV,68,2.35
"350 5th Ave, New York, NY","1 Infinite Loop, Cupertino, CA",2907,71.81,0,1,2023-08-31,04:45,Car/Trailer,58,49.25
"350 5th Ave, New York, NY","233 S Wacker Dr, Chicago, IL",791,74.87,3,1,2023-11-28,02:30,Semi-truck,64,15.34
"1 Dr Carlton B Goodlett Pl, San Francisco, CA","1600 Pennsylvania Ave NW, Washington, DC",2835,67.04,1,2,2023-07-24,07:27,Motorcycle,25,52.11
"1 Hacker Way, Menlo Park, CA","350 5th Ave, New York, NY",2885,74.05,1,2,2023-11-22,23:44,Motorcycle,35,54.57
"2755 Station Club Dr, Suwanee, GA","1600 Pennsylvania Ave NW, Washington, DC",546,67.82,2,0,2023-03-31,22:36,Sedan,47,10.41
"721 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2887,68.6,2,2,2023-04-15,18:33,Semi-truck,55,50.65
"721 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2887,73.3,0,1,2023-10-24,19:44,Motorcycle,38,50.72
"120 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,65.85,3,2,2023-03-04,01:42,Sedan,24,4.76
"2755 Station Club Dr, Suwanee, GA","1600 Pennsylvania Ave NW, Washington, DC",546,67.15,3,2,2023-12-27,05:16,Truck,24,10.56
"1 Microsoft Way, Redmond, WA","701 5th Ave, Seattle, WA",16,75.03,0,0,2023-09-17,16:27,SUV,27,2.0
"333 Bush St, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,77.24,1,0,2023-08-23,01:01,Semi-truck,27,2.86
"1 Infinite Loop, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,73.76,2,1,2023-04-25,06:22,SUV,40,2.02
"1 Microsoft Way, Redmond, WA","701 5th Ave, Seattle, WA",16,77.78,2,0,2023-09-21,03:36,Sedan,45,0.86
"2755 Station Club Dr, Suwanee, GA","1600 Pennsylvania Ave NW, Washington, DC",546,68.47,0,1,2023-06-04,23:01,Car/Trailer,62,9.78
"405 Lexington Ave, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,72.49,3,2,2023-09-28,13:25,Semi-truck,46,5.49
"100 Universal City Plaza, Universal City, CA","1600 Amphitheatre Parkway, Mountain View, CA",343,61.95,3,2,2023-07-03,21:17,Car/Trailer,30,7.2
"1515 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2889,77.21,1,2,2023-05-20,20:55,SUV,28,48.62
"45 Rockefeller Plaza, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,75.84,0,1,2023-05-07,01:11,Truck,58,5.29
"1601 Willow Rd, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,74.6,1,2,2023-12-24,17:04,Sedan,54,2.73
"1600 Pennsylvania Ave NW, Washington, DC","350 5th Ave, New York, NY",226,69.68,1,1,2023-12-13,02:46,Semi-truck,29,4.66
"1 Microsoft Way, Redmond, WA","701 5th Ave, Seattle, WA",16,71.71,3,1,2023-01-22,12:45,Motorcycle,60,1.66
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,76.48,3,2,2023-02-06,03:19,SUV,21,13.61
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,64.4,2,2,2023-12-16,16:18,Motorcycle,45,14.74
"4 Pennsylvania Plaza, New York, NY","1500 Sugar Bowl Dr, New Orleans, LA",1193,66.45,0,1,2023-01-17,04:37,Motorcycle,39,22.0
"1600 Amphitheatre Parkway, Mountain View, CA","1 Infinite Loop, Cupertino, CA",43,67.93,0,2,2023-08-06,16:02,SUV,61,2.4
"1 Dr Carlton B Goodlett Pl, San Francisco, CA","1600 Pennsylvania Ave NW, Washington, DC",2835,71.92,3,1,2023-09-02,02:45,Motorcycle,31,47.61
"1 Hacker Way, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,76.36,1,0,2023-12-28,11:32,Motorcycle,21,2.85
"2755 Station Club Dr, Suwanee, GA","1600 Pennsylvania Ave NW, Washington, DC",546,77.17,3,0,2023-01-29,07:08,Sedan,44,10.96
"350 5th Ave, New York, NY","233 S Wacker Dr, Chicago, IL",791,69.56,2,0,2023-07-21,08:03,Truck,68,14.24
"120 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,76.11,2,1,2023-05-02,19:47,Car/Trailer,66,4.61
"1 Hacker Way, Menlo Park, CA","1600 Amphitheatre Parkway, Mountain View, CA",128,75.79,0,2,2023-10-22,13:15,Semi-truck,39,3.07
"400 Broad St, Seattle, WA","1600 Amphitheatre Parkway, Mountain View, CA",842,70.45,0,1,2023-04-11,11:29,SUV,36,15.75
"1 Franklin Pkwy, San Mateo, CA","1 Infinite Loop, Cupertino, CA",128,72.09,2,1,2023-03-04,08:22,SUV,65,3.46
"120 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,73.86,2,2,2023-02-21,18:36,Sedan,33,4.03
"350 5th Ave, New York, NY","233 S Wacker Dr, Chicago, IL",791,71.47,0,1,2023-09-25,07:30,Semi-truck,28,13.6
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,69.2,3,1,2023-01-22,15:07,Semi-truck,64,5.44
"405 Lexington Ave, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,68.31,1,0,2023-01-11,14:09,Sedan,36,4.23
"350 5th Ave, New York, NY","1 Infinite Loop, Cupertino, CA",2907,70.78,3,1,2023-08-01,07:51,Semi-truck,29,51.02
"1 Hacker Way, Menlo Park, CA","350 5th Ave, New York, NY",2885,69.49,2,1,2023-01-16,16:22,Motorcycle,45,54.23
"1 Hacker Way, Menlo Park, CA","350 5th Ave, New York, NY",2885,74.26,1,1,2023-04-21,19:26,Car/Trailer,55,49.74
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,65.0,0,0,2023-03-31,08:56,SUV,33,5.2
"1600 Pennsylvania Ave NW, Washington, DC","350 5th Ave, New York, NY",226,69.71,2,1,2023-08-14,17:56,Sedan,57,3.96
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,66.78,1,1,2023-10-31,03:38,Car/Trailer,45,4.84
"721 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",226,62.45,0,2,2023-04-18,07:55,Sedan,36,5.0
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,71.85,1,2,2023-12-02,18:14,Car/Trailer,20,13.9
"2755 Station Club Dr, Suwanee, GA","1600 Pennsylvania Ave NW, Washington, DC",546,68.31,2,1,2023-01-14,03:25,Car/Trailer,28,10.59
"1 Hacker Way, Menlo Park, CA","350 5th Ave, New York, NY",2885,74.5,3,1,2023-12-06,15:47,Sedan,45,50.95
"350 5th Ave, New York, NY","233 S Wacker Dr, Chicago, IL",791,70.38,0,0,2023-04-13,18:27,Truck,34,13.67
"120 Broadway, New York, NY","1 Infinite Loop, Cupertino, CA",2891,70.44,2,0,2023-09-26,13:27,Sedan,64,51.54
"400 Broad St, Seattle, WA","1600 Amphitheatre Parkway, Mountain View, CA",842,69.44,2,0,2023-06-02,22:56,SUV,42,15.48
"500 Terry A Francois Blvd, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,73.68,3,0,2023-04-02,13:52,Car/Trailer,18,2.26
"1 Googleplex, Mountain View, CA","1 Apple Park Way, Cupertino, CA",43,72.23,2,1,2023-10-07,20:59,Truck,49,1.07
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,71.24,2,0,2023-07-09,04:02,Motorcycle,43,15.07
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,73.61,3,1,2023-05-19,11:39,Truck,59,5.27
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,70.48,2,1,2023-08-10,11:19,Semi-truck,33,14.22
